puzzle_number,score,name
302,4,doug
303,3,jamie
303,4,david
303,2,daniel
303,4,madre
303,4,doug
304,5,jamie
304,X,david
304,5,doug
304,4,madre
304,4,daniel
305,4,jamie
305,2,david
305,3,madre
305,3,doug
305,4,lisa
305,5,daniel
306,3,doug
306,5,lisa
306,3,madre
306,4,daniel
306,4,jamie
306,4,david
307,2,lisa
307,2,david
307,3,madre
307,3,doug
307,2,daniel
307,3,jamie
308,5,lisa
308,4,madre
308,3,daniel
308,5,doug
308,4,jamie
308,3,david
309,5,jamie
309,4,doug
309,3,lisa
309,3,madre
309,3,daniel
309,3,david
310,3,jamie
310,4,david
310,5,lisa
310,5,daniel
310,2,doug
310,3,madre
311,5,david
311,3,doug
311,2,lisa
311,4,madre
311,3,jamie
311,5,daniel
312,4,jamie
312,4,david
312,3,doug
312,4,lisa
312,4,madre
312,4,daniel
313,4,jamie
313,3,david
313,4,lisa
313,5,doug
313,4,daniel
313,4,madre
314,3,jamie
314,3,doug
314,3,lisa
314,3,david
314,2,madre
314,6,daniel
315,3,jamie
315,3,david
315,3,doug
315,4,madre
315,3,daniel
315,5,lisa
316,6,jamie
366,3,jamie
366,3,lisa
366,3,madre
366,6,daniel
366,4,doug
366,3,david
367,4,jamie
367,5,david
367,4,lisa
367,4,doug
367,3,daniel
367,4,madre
368,3,jamie
368,4,david
368,4,lisa
368,4,madre
368,3,daniel
368,6,doug
369,4,jamie
369,5,lisa
369,3,doug
369,4,daniel
369,3,madre
369,4,david
370,4,jamie
370,4,doug
370,4,madre
370,3,lisa
370,3,david
371,4,jamie
371,5,lisa
371,3,madre
371,5,doug
371,4,david
372,3,jamie
372,2,lisa
372,3,david
372,4,doug
372,4,madre
372,6,daniel
373,4,david
373,4,jamie
373,4,lisa
373,3,madre
373,4,doug
373,4,daniel
374,4,jamie
374,3,lisa
374,6,david
374,4,doug
374,3,madre
374,4,daniel
375,5,lisa
375,5,jamie
375,4,david
375,5,madre
375,5,doug
376,2,jamie
376,5,doug
376,6,madre
376,3,lisa
376,6,daniel
376,5,david
377,2,doug
377,4,madre
377,3,lisa
377,4,daniel
377,3,david
377,4,jamie
378,5,lisa
378,3,doug
378,3,madre
378,5,jamie
378,3,daniel
379,4,jamie
379,4,lisa
379,4,doug
379,4,madre
380,6,doug
380,3,madre
380,6,jamie
380,5,lisa
381,5,madre
381,5,doug
381,3,daniel
381,4,lisa
382,5,jamie
382,5,doug
382,6,madre
382,5,lisa
382,6,daniel
383,3,jamie
383,4,madre
383,3,lisa
383,6,doug
383,4,daniel
378,5,david
379,3,david
380,5,david
381,4,david
382,5,david
383,4,david
384,3,jamie
384,3,david
384,4,doug
384,4,daniel
384,5,lisa
385,4,jamie
385,4,madre
385,4,doug
385,5,david
384,4,madre
385,6,daniel
385,3,lisa
397,4,david
398,4,jamie
398,5,david
398,4,lisa
398,3,doug
398,4,madre
399,4,lisa
399,3,doug
399,4,jamie
399,4,david
399,4,madre
400,3,jamie
400,4,doug
400,4,david
400,5,madre
400,3,lisa
401,4,doug
401,4,madre
401,5,jamie
401,6,lisa
401,4,daniel
401,3,david
402,5,jamie
402,5,madre
402,6,doug
402,3,david
402,4,daniel
402,3,lisa
403,4,jamie
403,4,lisa
403,3,doug
403,4,madre
403,4,david
403,5,daniel
404,5,madre
404,4,doug
404,3,lisa
404,4,jamie
404,3,david
404,4,daniel
405,3,doug
405,3,madre
405,4,david
405,5,daniel
405,4,lisa
405,3,jamie
406,5,madre
406,4,doug
406,4,jamie
406,3,lisa
406,3,david
406,5,daniel
407,2,doug
407,X,madre
407,4,jamie
407,3,lisa
407,3,david
407,3,daniel
408,5,jamie
408,3,doug
408,3,lisa
408,4,daniel
408,4,madre
408,3,david
409,3,jamie
409,4,doug
409,4,daniel
409,6,lisa
409,6,madre
410,5,jamie
410,5,doug
410,4,lisa
410,5,daniel
410,4,madre
410,4,david
409,5,david
411,3,jamie
411,4,doug
411,4,david
411,5,lisa
411,5,daniel
411,4,madre
412,6,jamie
412,4,david
412,5,doug
412,4,lisa
412,5,madre
412,3,daniel
413,4,david
413,4,doug
413,3,madre
413,4,daniel
413,4,lisa
413,3,jamie
414,4,lisa
414,4,david
414,5,jamie
414,5,doug
414,5,daniel
414,4,madre
415,3,david
415,3,lisa
415,4,doug
415,3,jamie
415,4,daniel
415,3,madre
416,4,jamie
416,6,lisa
416,4,daniel
416,5,doug
416,4,madre
417,5,lisa
417,4,jamie
417,3,david
416,3,david
417,5,daniel
417,4,doug
417,4,madre
418,3,david
418,3,jamie
418,3,lisa
418,3,daniel
418,2,doug
418,3,madre
419,6,lisa
419,5,david
419,4,doug
419,3,daniel
419,4,madre
419,5,jamie
420,4,lisa
420,4,jamie
420,4,daniel
420,6,madre
420,6,doug
421,4,jamie
421,5,daniel
421,5,lisa
421,4,doug
421,4,madre
422,4,doug
422,5,lisa
422,4,jamie
422,3,madre
422,X,daniel
423,3,doug
423,4,lisa
423,4,daniel
423,4,jamie
423,4,madre
424,3,jamie
424,3,doug
424,3,lisa
424,3,madre
424,5,daniel
425,3,jamie
425,4,doug
425,3,lisa
425,4,daniel
425,4,madre
420,4,david
421,4,david
422,4,david
423,3,david
424,3,david
425,5,david
426,3,lisa
426,4,daniel
426,3,jamie
426,4,david
426,3,madre
426,5,doug
427,5,jamie
427,5,lisa
427,4,madre
427,5,doug
427,3,daniel
428,3,jamie
428,4,lisa
428,6,madre
428,4,doug
428,4,daniel
429,3,jamie
429,4,daniel
429,3,madre
429,3,lisa
429,4,david
427,4,david
428,5,david
429,4,doug
430,5,jamie
430,4,doug
430,4,lisa
430,4,david
430,5,daniel
430,4,madre
431,4,jamie
431,5,david
431,4,doug
431,3,madre
431,4,lisa
431,4,daniel
432,4,jamie
432,3,david
432,3,doug
432,4,madre
432,4,lisa
433,5,jamie
433,4,doug
433,5,lisa
433,5,david
433,4,daniel
433,4,madre
434,5,jamie
434,4,madre
434,5,doug
434,5,daniel
434,5,lisa
434,5,david
435,5,jamie
435,6,doug
435,4,lisa
435,5,madre
435,5,daniel
436,4,jamie
436,3,madre
436,4,doug
436,4,daniel
436,6,lisa
436,4,david
435,6,david
437,3,jamie
437,3,doug
437,3,lisa
437,4,daniel
437,3,madre
437,3,david
438,5,jamie
438,6,doug
438,5,david
438,4,madre
438,5,lisa
438,3,daniel
439,5,doug
439,3,daniel
439,3,david
439,5,jamie
439,4,madre
439,4,lisa
440,2,jamie
440,2,david
440,4,doug
440,3,madre
440,5,daniel
440,4,lisa
441,4,david
441,4,jamie
441,5,madre
441,6,daniel
441,5,lisa
442,3,jamie
442,3,david
442,2,daniel
442,5,lisa
442,X,madre
441,4,doug
442,5,doug
443,4,jamie
443,5,doug
443,4,lisa
443,3,madre
443,4,daniel
443,3,david
444,6,jamie
444,5,doug
444,6,daniel
444,5,lisa
444,X,david
444,3,madre
445,4,daniel
445,4,madre
445,5,david
445,5,lisa
445,3,jamie
445,5,doug
446,5,jamie
446,3,david
446,4,doug
446,3,lisa
446,4,madre
446,3,daniel
447,4,jamie
447,3,doug
447,4,madre
447,4,lisa
447,3,daniel
447,3,david
448,6,jamie
448,3,david
448,4,doug
448,6,lisa
448,4,madre
448,4,daniel
449,4,jamie
449,4,doug
449,5,madre
449,5,lisa
449,4,daniel
450,5,jamie
450,4,david
450,5,doug
450,5,madre
450,4,lisa
450,4,daniel
451,4,doug
451,3,david
449,4,david
451,4,madre
451,4,jamie
451,4,lisa
451,4,daniel
452,3,david
452,4,jamie
452,3,doug
452,5,lisa
452,4,madre
453,4,jamie
453,4,david
453,4,doug
453,4,madre
453,4,lisa
453,3,daniel
454,X,jamie
454,X,david
454,X,doug
454,X,lisa
454,X,daniel
454,3,madre
455,4,jamie
455,3,doug
455,4,madre
455,4,david
455,2,lisa
455,4,daniel
456,3,jamie
456,3,david
456,3,lisa
456,4,madre
456,3,doug
456,4,daniel
457,4,jamie
457,5,doug
457,3,david
457,6,lisa
457,5,daniel
457,4,madre
458,4,jamie
458,5,doug
458,4,david
458,5,daniel
458,3,lisa
458,5,madre
459,4,jamie
459,2,doug
459,4,madre
459,4,lisa
459,3,david
459,4,daniel
460,3,david
460,2,doug
460,3,jamie
460,3,lisa
460,3,daniel
460,5,madre
461,4,jamie
461,3,david
461,3,doug
461,6,lisa
461,5,daniel
461,4,madre
462,4,jamie
462,5,madre
462,5,doug
462,5,david
462,2,daniel
462,5,lisa
463,4,jamie
463,4,david
463,4,daniel
463,4,lisa
463,4,doug
463,4,madre
464,4,jamie
464,4,doug
464,5,madre
316,4,doug
316,6,jamie
316,4,madre
316,5,lisa
316,5,me
316,3,daniel
317,4,jamie
317,4,doug
317,4,lisa
317,5,me
317,4,daniel
317,5,madre
318,4,jamie
318,3,doug
318,5,me
318,3,lisa
318,5,daniel
318,3,madre
319,5,jamie
319,3,madre
319,3,doug
319,2,me
319,4,lisa
319,3,daniel
320,5,me
320,4,madre
320,4,doug
320,5,daniel
320,X,lisa
320,5,jamie
321,3,jamie
321,5,madre
321,2,doug
321,4,me
321,3,daniel
321,5,lisa
322,5,jamie
322,3,doug
322,5,me
322,3,madre
322,5,lisa
322,3,daniel
323,6,lisa
323,6,jamie
323,3,madre
323,4,doug
323,4,daniel
323,2,me
324,3,jamie
324,4,lisa
324,4,me
324,2,madre
324,4,doug
324,4,daniel
325,4,jamie
325,4,lisa
325,3,doug
325,3,me
325,4,daniel
325,4,madre
326,4,jamie
326,3,lisa
326,3,me
326,3,doug
326,4,daniel
326,3,madre
327,4,jamie
327,4,lisa
327,5,doug
327,4,madre
327,4,me
327,5,daniel
328,3,jamie
328,3,lisa
328,4,doug
328,4,me
328,5,daniel
328,2,madre
329,5,madre
329,3,doug
329,3,lisa
329,3,jamie
329,4,me
329,3,daniel
330,2,jamie
330,3,doug
330,6,me
330,6,madre
330,4,daniel
330,4,lisa
331,3,jamie
331,5,madre
331,6,me
331,5,doug
331,4,daniel
332,3,jamie
332,3,me
332,5,doug
332,4,daniel
332,4,madre
332,4,lisa
333,2,jamie
333,2,doug
333,3,me
333,4,madre
333,4,daniel
333,3,lisa
334,4,jamie
334,5,madre
334,5,doug
334,3,me
334,3,daniel
335,4,jamie
335,5,doug
335,5,me
335,3,daniel
335,3,lisa
335,4,madre
336,4,jamie
336,3,doug
336,2,me
336,5,lisa
336,4,daniel
336,4,madre
337,2,lisa
337,4,doug
337,3,madre
337,5,me
337,4,jamie
337,4,daniel
338,3,jamie
338,3,doug
338,5,me
338,3,lisa
338,3,madre
338,4,daniel
339,5,jamie
339,4,madre
339,3,me
339,5,daniel
339,4,lisa
339,5,doug
340,4,jamie
340,5,doug
340,5,madre
340,4,lisa
340,3,daniel
340,5,me
341,5,me
341,3,jamie
341,4,doug
341,4,daniel
341,4,lisa
341,3,madre
342,5,jamie
342,4,madre
342,4,doug
342,3,lisa
342,2,daniel
342,4,me
343,4,jamie
343,2,lisa
343,5,doug
343,4,me
343,4,madre
343,4,daniel
344,3,daniel
344,4,doug
344,4,madre
344,4,lisa
344,4,jamie
345,4,jamie
345,3,madre
345,3,doug
345,3,lisa
345,4,daniel
346,3,jamie
346,6,doug
346,4,daniel
346,5,madre
346,3,lisa
344,4,me
345,3,me
346,3,me
347,4,jamie
347,4,lisa
347,6,daniel
347,4,doug
347,3,madre
348,4,jamie
348,5,lisa
347,3,me
348,4,me
348,5,doug
348,5,madre
348,4,daniel
349,4,jamie
349,3,lisa
349,4,doug
349,4,daniel
349,3,madre
349,3,me
350,4,lisa
350,5,doug
350,2,jamie
350,4,me
350,6,madre
350,3,daniel
351,4,jamie
351,5,lisa
351,3,doug
351,3,madre
351,3,me
351,4,daniel
352,6,jamie
352,4,lisa
352,6,doug
352,4,me
352,4,madre
352,4,daniel
353,4,jamie
353,4,me
353,4,lisa
353,3,doug
353,5,daniel
353,4,madre
354,3,doug
354,3,me
354,2,lisa
354,4,jamie
354,4,madre
354,4,daniel
355,3,jamie
355,5,lisa
355,5,me
355,4,madre
355,4,doug
356,4,jamie
356,5,lisa
356,4,me
356,3,doug
356,4,madre
356,4,daniel
357,4,jamie
357,4,madre
357,4,me
357,5,lisa
357,4,daniel
357,5,doug
358,5,jamie
358,3,me
358,4,lisa
358,4,doug
358,4,madre
358,4,daniel
359,3,jamie
359,3,lisa
359,5,doug
359,4,me
359,4,madre
359,4,daniel
360,4,jamie
360,3,doug
360,4,madre
360,3,me
360,2,daniel
360,4,lisa
361,5,jamie
361,4,doug
361,4,me
361,4,lisa
361,6,daniel
361,3,madre
362,4,jamie
362,3,lisa
362,3,me
362,4,daniel
362,3,madre
362,3,doug
363,5,jamie
363,3,me
363,4,madre
363,4,doug
364,5,doug
365,5,jamie
365,2,lisa
365,5,madre
365,3,doug
364,4,me
365,4,me
365,5,daniel
366,3,jamie
366,3,lisa
386,4,jamie
386,4,lisa
386,3,me
386,4,doug
386,2,madre
386,4,daniel
387,4,doug
387,4,me
387,2,lisa
387,4,madre
387,5,daniel
387,5,jamie
388,3,jamie
388,3,me
388,4,lisa
388,2,daniel
388,3,madre
389,4,jamie
389,4,me
389,3,madre
389,4,lisa
389,3,doug
389,3,daniel
390,3,jamie
390,4,doug
390,4,me
390,3,lisa
390,4,daniel
390,X,madre
391,5,doug
391,4,me
391,5,jamie
391,5,daniel
391,5,lisa
391,4,madre
392,4,jamie
392,3,me
392,4,doug
392,4,madre
392,5,daniel
392,4,lisa
393,3,jamie
393,3,lisa
393,4,me
393,4,doug
393,3,madre
393,5,daniel
394,2,jamie
394,5,doug
394,4,lisa
394,3,me
394,3,daniel
394,4,madre
395,4,me
395,3,doug
395,4,daniel
395,4,lisa
395,1,jamie
395,4,madre
396,4,jamie
396,5,doug
396,4,me
396,6,lisa
396,X,daniel
396,4,madre
397,5,lisa
397,4,jamie
397,3,doug
397,2,madre
